page_index,image_id,target_language_code,status,error
25,img-25-1,es,enqueued,
25,img-25-1,en,enqueued,
24,img-24-1,es,enqueued,
24,img-24-1,en,enqueued,
17,img-17-1,es,enqueued,
17,img-17-1,en,enqueued,
17,img-17-2,es,enqueued,
17,img-17-2,en,enqueued,
21,img-21-1,es,enqueued,
21,img-21-1,en,enqueued,
21,img-21-2,es,enqueued,
21,img-21-2,en,enqueued,
21,img-21-3,es,enqueued,
21,img-21-3,en,enqueued,
16,img-16-1,es,enqueued,
16,img-16-1,en,enqueued,
14,img-14-1,es,enqueued,
14,img-14-1,en,enqueued,
14,img-14-2,es,enqueued,
14,img-14-2,en,enqueued,
14,img-14-3,es,enqueued,
14,img-14-3,en,enqueued,
14,img-14-4,es,enqueued,
14,img-14-4,en,enqueued,
14,img-14-5,es,enqueued,
14,img-14-5,en,enqueued,
13,img-13-1,es,enqueued,
13,img-13-1,en,enqueued,
19,img-19-1,es,enqueued,
19,img-19-1,en,enqueued,
19,img-19-2,es,enqueued,
19,img-19-2,en,enqueued,
19,img-19-3,es,enqueued,
19,img-19-3,en,enqueued,
19,img-19-4,es,enqueued,
19,img-19-4,en,enqueued,
19,img-19-5,es,enqueued,
19,img-19-5,en,enqueued,
18,img-18-1,es,enqueued,
18,img-18-1,en,enqueued,
18,img-18-3,es,enqueued,
18,img-18-3,en,enqueued,
12,img-12-1,es,enqueued,
12,img-12-1,en,enqueued,
12,img-12-2,es,enqueued,
12,img-12-2,en,enqueued,
12,img-12-3,es,enqueued,
12,img-12-3,en,enqueued,
12,img-12-4,es,enqueued,
12,img-12-4,en,enqueued,
12,img-12-5,es,enqueued,
12,img-12-5,en,enqueued,
11,img-11-1,es,enqueued,
11,img-11-1,en,enqueued,
11,img-11-2,es,enqueued,
11,img-11-2,en,enqueued,
11,img-11-3,es,enqueued,
11,img-11-3,en,enqueued,
11,img-11-4,es,enqueued,
11,img-11-4,en,enqueued,
23,img-23-1,es,enqueued,
23,img-23-1,en,enqueued,
23,img-23-2,es,enqueued,
23,img-23-2,en,enqueued,
23,img-23-3,es,enqueued,
23,img-23-3,en,enqueued,
23,img-23-4,es,enqueued,
23,img-23-4,en,enqueued,
23,img-23-5,es,enqueued,
23,img-23-5,en,enqueued,
23,img-23-6,es,enqueued,
23,img-23-6,en,enqueued,
23,img-23-7,es,enqueued,
23,img-23-7,en,enqueued,
23,img-23-8,es,enqueued,
23,img-23-8,en,enqueued,
15,img-15-1,es,enqueued,
15,img-15-1,en,enqueued,
15,img-15-2,es,enqueued,
15,img-15-2,en,enqueued,
15,img-15-3,es,enqueued,
15,img-15-3,en,enqueued,
15,img-15-4,es,enqueued,
15,img-15-4,en,enqueued,
10,img-10-1,es,enqueued,
10,img-10-1,en,enqueued,
10,img-10-2,es,enqueued,
10,img-10-2,en,enqueued,
10,img-10-3,es,enqueued,
10,img-10-3,en,enqueued,
10,img-10-4,es,enqueued,
10,img-10-4,en,enqueued,
27,img-27-1,es,enqueued,
27,img-27-1,en,enqueued,
27,img-27-2,es,enqueued,
27,img-27-2,en,enqueued,
27,img-27-3,es,enqueued,
27,img-27-3,en,enqueued,
27,img-27-4,es,enqueued,
27,img-27-4,en,enqueued,
27,img-27-5,es,enqueued,
27,img-27-5,en,enqueued,
27,img-27-6,es,enqueued,
27,img-27-6,en,enqueued,
27,img-27-7,es,enqueued,
27,img-27-7,en,enqueued,
27,img-27-8,es,enqueued,
27,img-27-8,en,enqueued,
27,img-27-9,es,enqueued,
27,img-27-9,en,enqueued,
27,img-27-10,es,enqueued,
27,img-27-10,en,enqueued,
27,img-27-11,es,enqueued,
27,img-27-11,en,enqueued,
27,img-27-12,es,enqueued,
27,img-27-12,en,enqueued,
20,img-20-1,es,enqueued,
20,img-20-1,en,enqueued,
20,img-20-2,es,enqueued,
20,img-20-2,en,enqueued,
20,img-20-3,es,enqueued,
20,img-20-3,en,enqueued,
20,img-20-4,es,enqueued,
20,img-20-4,en,enqueued,
30,img-30-1,es,enqueued,
30,img-30-1,en,enqueued,
30,img-30-4,es,enqueued,
30,img-30-4,en,enqueued,
30,img-30-6,es,enqueued,
30,img-30-6,en,enqueued,
17,img-17-1,es,success,
25,img-25-1,en,success,
25,img-25-1,es,success,
24,img-24-1,es,success,
24,img-24-1,en,success,
21,img-21-1,en,success,
21,img-21-3,es,success,
21,img-21-1,es,success,
17,img-17-1,en,success,
16,img-16-1,es,success,
21,img-21-2,en,success,
14,img-14-2,en,success,
21,img-21-2,es,success,
14,img-14-1,en,success,
14,img-14-1,es,success,
16,img-16-1,en,success,
14,img-14-3,en,success,
14,img-14-5,es,success,
14,img-14-3,es,success,
17,img-17-2,es,success,
14,img-14-4,en,success,
19,img-19-1,es,success,
19,img-19-4,es,success,
13,img-13-1,es,success,
19,img-19-3,en,success,
19,img-19-1,en,success,
19,img-19-2,en,success,
14,img-14-5,en,success,
19,img-19-5,es,success,
14,img-14-4,es,success,
19,img-19-4,en,success,
12,img-12-1,es,success,
19,img-19-3,es,success,
14,img-14-2,es,success,
21,img-21-3,en,success,
23,img-23-4,es,success,
12,img-12-5,en,success,
23,img-23-3,es,success,
12,img-12-1,en,success,
13,img-13-1,en,success,
19,img-19-2,es,success,
12,img-12-4,es,success,
12,img-12-4,en,success,
18,img-18-3,en,success,
12,img-12-3,en,success,
12,img-12-2,es,success,
23,img-23-5,es,success,
23,img-23-2,en,success,
19,img-19-5,en,success,
23,img-23-7,en,success,
23,img-23-8,en,success,
23,img-23-7,es,success,
23,img-23-6,en,success,
12,img-12-5,es,success,
18,img-18-1,en,success,
12,img-12-2,en,success,
23,img-23-5,en,success,
11,img-11-3,en,success,
11,img-11-1,en,success,
23,img-23-6,es,success,
11,img-11-2,es,success,
23,img-23-8,es,success,
17,img-17-2,en,success,
10,img-10-2,en,success,
10,img-10-2,es,success,
10,img-10-1,en,success,
15,img-15-2,en,success,
12,img-12-3,es,success,
10,img-10-4,es,success,
11,img-11-3,es,success,
23,img-23-3,en,success,
23,img-23-1,es,success,
10,img-10-1,es,success,
23,img-23-2,es,success,
15,img-15-1,en,success,
27,img-27-1,en,success,
15,img-15-4,en,success,
15,img-15-3,en,success,
11,img-11-1,es,success,
18,img-18-3,es,success,
11,img-11-4,en,success,
27,img-27-2,es,success,
18,img-18-1,es,success,
15,img-15-3,es,success,
10,img-10-3,en,success,
10,img-10-4,en,success,
27,img-27-3,en,success,
23,img-23-1,en,success,
10,img-10-3,es,success,
15,img-15-4,es,success,
11,img-11-2,en,success,
15,img-15-1,es,success,
27,img-27-5,en,success,
11,img-11-4,es,success,
27,img-27-4,en,success,
27,img-27-4,es,success,
27,img-27-3,es,success,
27,img-27-1,es,success,
27,img-27-6,es,success,
27,img-27-6,en,success,
27,img-27-7,en,success,
27,img-27-5,es,success,
27,img-27-2,en,success,
27,img-27-11,en,success,
27,img-27-9,en,success,
27,img-27-10,en,success,
20,img-20-1,en,success,
23,img-23-4,en,success,
20,img-20-1,es,success,
15,img-15-2,es,success,
27,img-27-11,es,success,
27,img-27-10,es,success,
27,img-27-9,es,success,
20,img-20-2,en,success,
20,img-20-4,en,success,
27,img-27-12,en,success,
27,img-27-8,es,success,
20,img-20-3,en,success,
20,img-20-2,es,success,
27,img-27-7,es,success,
27,img-27-12,es,success,
30,img-30-1,en,success,
30,img-30-4,es,success,
30,img-30-6,en,success,
30,img-30-6,es,success,
20,img-20-3,es,success,
30,img-30-1,es,success,
27,img-27-8,en,success,
30,img-30-4,en,success,
20,img-20-4,es,success,
